player,matches_played,total_runs,balls_faced,total_4s,total_6s,extras_given,runs_given,wickets_taken,overs_bowled,player_code
MA Starc,16.0,105.0,109.0,11.0,0.0,105.0,1175.0,59.0,146.5,357
BR Dunk,3.0,40.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,358
RR Rossouw,22.0,473.0,321.0,45.0,25.0,0.0,0.0,0.0,0.0,359
KW Richardson,2.0,2.0,3.0,0.0,0.0,17.0,363.0,15.0,42.333333333333336,360
Shivam Sharma,2.0,5.0,3.0,1.0,0.0,0.0,165.0,4.0,19.0,361
YS Chahal,15.0,32.0,78.0,0.0,0.0,197.0,4607.0,212.0,596.8333333333334,362
LMP Simmons,26.0,1063.0,847.0,109.0,43.0,0.0,34.0,1.0,3.0,363
VH Zol,2.0,29.0,26.0,3.0,1.0,0.0,0.0,0.0,0.0,364
BCJ Cutting,17.0,238.0,146.0,15.0,19.0,8.0,430.0,12.0,48.0,365
Imran Tahir,7.0,33.0,35.0,5.0,0.0,57.0,1332.0,65.0,171.5,366
WD Parnell,2.0,4.0,8.0,0.0,0.0,28.0,472.0,16.0,57.833333333333336,367
BE Hendricks,2.0,1.0,3.0,0.0,0.0,15.0,239.0,11.0,26.166666666666668,368
S Gopal,21.0,178.0,157.0,19.0,2.0,17.0,1339.0,53.0,163.66666666666666,369
M de Lange,1.0,1.0,2.0,0.0,0.0,11.0,137.0,3.0,14.833333333333334,370
R Tewatia,64.0,1009.0,785.0,83.0,47.0,29.0,1103.0,36.0,141.33333333333334,371
JO Holder,27.0,259.0,217.0,13.0,18.0,86.0,1489.0,59.0,174.83333333333334,372
Karanveer Singh,4.0,12.0,17.0,1.0,0.0,11.0,323.0,14.0,35.5,373
SS Iyer,112.0,3120.0,2531.0,271.0,113.0,0.0,7.0,0.0,1.0,374
DJ Hooda,93.0,1432.0,1146.0,94.0,58.0,17.0,535.0,10.0,64.0,375
Anureet Singh,8.0,36.0,47.0,2.0,1.0,35.0,636.0,21.0,71.66666666666667,376
