id,player_of_match,venue,team1,team2,toss_winner,winner,result,target_runs,target_overs,Home_Win,loser,Home_Loss,Neutral,toss_match_win
734041,CJ Anderson,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,wickets,190.0,20.0,True,Rajasthan Royals,False,False,True
734043,UT Yadav,"Eden Gardens, Kolkata",Punjab Kings,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,runs,164.0,20.0,True,Punjab Kings,False,False,False
734045,SK Raina,"Brabourne Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,174.0,20.0,False,Mumbai Indians,False,True,True
734047,V Sehwag,"Wankhede Stadium, Mumbai",Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,runs,227.0,20.0,False,Chennai Super Kings,False,True,False
734049,MK Pandey,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,200.0,20.0,False,Punjab Kings,False,True,True
829705,M Morkel,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,wickets,169.0,20.0,True,Mumbai Indians,False,False,True
829707,A Nehra,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,runs,151.0,20.0,True,Delhi Capitals,False,False,False
829709,JP Faulkner,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,Rajasthan Royals,Punjab Kings,Rajasthan Royals,runs,163.0,20.0,False,Punjab Kings,False,True,False
829711,BB McCullum,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,runs,210.0,20.0,True,Sunrisers Hyderabad,False,False,True
829713,CH Gayle,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,178.0,20.0,False,Kolkata Knight Riders,True,False,True
829715,DJ Hooda,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,wickets,185.0,20.0,False,Delhi Capitals,True,False,True
829717,GJ Bailey,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Mumbai Indians,Punjab Kings,runs,178.0,20.0,False,Mumbai Indians,True,False,False
829719,DA Warner,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,167.0,20.0,False,Royal Challengers Bangalore,True,False,True
829721,SPD Smith,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rajasthan Royals,wickets,165.0,20.0,False,Mumbai Indians,False,True,False
829725,MA Agarwal,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,wickets,166.0,20.0,False,Punjab Kings,False,True,False
829727,AM Rahane,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,wickets,128.0,20.0,False,Sunrisers Hyderabad,False,True,True
829729,A Nehra,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,wickets,184.0,20.0,False,Mumbai Indians,True,False,False
829731,JP Duminy,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Delhi Capitals,runs,168.0,20.0,False,Sunrisers Hyderabad,False,True,True
829733,AD Russell,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,wickets,156.0,20.0,False,Punjab Kings,False,True,True
829735,AM Rahane,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,wickets,157.0,20.0,False,Chennai Super Kings,False,True,False
829737,Harbhajan Singh,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,210.0,20.0,False,Royal Challengers Bangalore,True,False,False
829739,UT Yadav,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,wickets,147.0,20.0,False,Delhi Capitals,True,False,True
829741,SE Marsh,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Punjab Kings,Punjab Kings,Punjab Kings,tie,192.0,20.0,False,Rajasthan Royals,False,True,True
829743,DA Warner,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,runs,118.0,12.0,False,Kolkata Knight Riders,False,True,False
829745,SK Raina,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,182.0,20.0,False,Royal Challengers Bangalore,True,False,False
829747,SS Iyer,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,runs,191.0,20.0,True,Mumbai Indians,False,False,False
829749,MA Starc,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,131.0,20.0,False,Rajasthan Royals,False,True,True
829751,SL Malinga,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,runs,158.0,20.0,True,Sunrisers Hyderabad,False,False,True
829753,BB McCullum,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,runs,193.0,20.0,True,Punjab Kings,False,False,True
829757,VR Aaron,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,96.0,20.0,False,Delhi Capitals,True,False,True
829759,TA Boult,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,runs,151.0,20.0,False,Punjab Kings,True,False,False
829765,DJ Bravo,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,runs,135.0,20.0,True,Kolkata Knight Riders,False,False,False
829763,,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,,no result,,,False,Rajasthan Royals,False,True,False
829723,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,166.0,20.0,True,Chennai Super Kings,False,False,True
829767,NM Coulter-Nile,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,wickets,119.0,20.0,True,Punjab Kings,False,False,True
829769,AT Rayudu,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,runs,188.0,20.0,True,Rajasthan Royals,False,False,False
829771,Mandeep Singh,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,112.0,10.0,True,Kolkata Knight Riders,False,False,True
829773,DA Warner,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,runs,193.0,20.0,True,Chennai Super Kings,False,False,False
829775,LMP Simmons,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,runs,173.0,20.0,False,Punjab Kings,True,False,True
829777,AM Rahane,"Brabourne Stadium, Mumbai",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,runs,190.0,20.0,False,Delhi Capitals,False,True,False
829779,SK Raina,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,149.0,20.0,True,Royal Challengers Bangalore,False,False,True
829781,UT Yadav,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,runs,168.0,20.0,True,Sunrisers Hyderabad,False,False,False
829783,Harbhajan Singh,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,wickets,153.0,20.0,True,Delhi Capitals,False,False,False
829785,CH Gayle,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,runs,227.0,20.0,True,Punjab Kings,False,False,False
829761,PP Chawla,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,runs,172.0,20.0,True,Delhi Capitals,False,False,True
829787,EJG Morgan,"Brabourne Stadium, Mumbai",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,runs,202.0,20.0,False,Rajasthan Royals,False,True,False
829789,HH Pandya,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,159.0,20.0,False,Chennai Super Kings,True,False,False
829791,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,wickets,184.0,20.0,True,Punjab Kings,False,False,False
829793,MC Henriques,Shaheed Veer Narayan Singh International Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,164.0,20.0,False,Delhi Capitals,False,True,True
829795,AB de Villiers,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,236.0,20.0,False,Mumbai Indians,True,False,True
829797,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,runs,158.0,20.0,True,Rajasthan Royals,False,False,True
